
   Трасса полёта КА

__НУ КА-314_________________________________________________
 Номер-15 Тип-8 Мод-0 БЦ-1  Номер ЛШС-1
 Дата  20.06.2018   Время  07:44:33.3710   Виток 2112  
____________________________________________________________
             АСК-2000             ГСК            АСК-ИстЭ
 X,   км    1296.451272      -1184.470898       1268.907161
 Y,   км    6767.318954       6787.814426       6772.537974
 Z,   км      -2.067149         -0.000000         -0.000000
 Vx, м/с     980.475416       1468.439140        967.926016
 Vy, м/с    -195.112640        246.689516       -190.925326
 Vz, м/с    7541.740455       7543.468487       7543.468487
____________________________________________________________
             ОСК-2000          ОСК-ИстЭ
 a,   км    6893.775093       6893.775093
 e,            0.001331151       0.001331151
 i, град      97.550672         97.450832
 W, град      79.152666         79.388058
 w, град      68.368732         68.386071
 u, град     359.982661          0.000000
____________________________________________________________
Sбал  0.001442 (кг.м2)  Масса  950.0000 (кг)  
____________________________________________________________

______ЛШС - 1_______________________________________________
 Мод ГПЗ- 4 (04x04)
 Мод Атм- 0 Мод СвД- 0 Учт  ДУ- 0 
 Учт СОЛ- 0 Учт ЛУН- 0 Учт ПРЛ- 0
____________________________________________________________
____________________________________________________________________________________________
  Дата       Время         Долгота,        Широта,          Высота,        Уг. места Солнца,
                           град            град             км             град
____________________________________________________________________________________________
 20.06.2018 18:53:33,3710  290,13220266    18,64285933       511.334227    077.52.46,7942
 20.06.2018 18:56:33,3710  287,59424449    29,97036329       512.466784    076.13.39,7106
 20.06.2018 18:59:33,3710  284,59466684    41,24774084       514.467384    067.53.19,9740
 20.06.2018 19:02:33,3710  280,65370126    52,43929372       516.862253    057.40.43,7063
 20.06.2018 19:05:33,3710  274,53979414    63,46299492       519.144221    046.54.32,6922
 20.06.2018 19:08:33,3710  261,86519698    74,01859670       520.857625    035.54.58,6914
 20.06.2018 19:11:33,3710  219,25559783    82,05670729       521.672506    024.49.05,5502
 20.06.2018 19:14:33,3710  148,25462135    78,74570107       521.437077    013.40.03,1442
 20.06.2018 19:17:33,3710  126,33667239    68,87423386       520.201254    002.29.36,9784
 20.06.2018 19:20:33,3710  117,93012457    58,01580708       518.208340   -008.40.58,6275
 20.06.2018 19:23:33,3710  113,14291539    46,89296367       515.856182   -019.50.34,1771
 20.06.2018 19:26:33,3710  109,75688633    35,65346067       513.633152   -030.57.42,3611
 20.06.2018 19:29:33,3710  107,02616525    24,34862727       512.037956   -042.00.01,4061
 20.06.2018 19:32:33,3710  104,62215408    13,00607929       511.495301   -052.52.44,7914
 20.06.2018 19:35:33,3710  102,36380207     1,64694634       512.281035   -063.23.46,6153
 20.06.2018 19:38:33,3710  100,12334905    -9,70934262       514.469814   -072.52.20,4666
 20.06.2018 19:41:33,3710   97,77913109   -21,04375676       517.915049   -078.23.58,4372
 20.06.2018 19:44:33,3710   95,17317265   -32,33669708       522.265178   -074.47.56,0225
 20.06.2018 19:47:33,3710   92,03863020   -43,56471305       527.013527   -065.51.58,1204
 20.06.2018 19:50:33,3710   87,81154183   -54,68888333       531.572866   -055.31.47,6660
